player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
226,MF,Uruguay,28-200,1994,1.2,3,1,2,1,0,0,4,0,4,1,0,1,2,5,1,0
227,DF,Brazil,25-275,1997,1.2,1,1,1,0,0,0,1,0,1,1,0,1,1,2,6,0
228,DF,Argentina,25-351,1997,1.3,3,2,2,1,0,2,4,50,2,1,0,1,1,4,1,0
229,MF,Ecuador,22-047,2000,3,3,2,2,1,0,2,8,25,6,3,0,3,2,5,0,0
230,FW,Portugal,21-181,2001,1.7,1,1,0,1,0,1,2,50,1,0,0,0,0,1,2,0
231,MF,Switzerland,30-082,1992,4,6,4,1,5,0,4,6,66.7,2,3,2,1,2,8,7,0
232,GK,Switzerland,25-012,1997,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
233,MF,Poland,32-323,1990,3.7,9,4,2,5,2,1,7,14.3,6,5,3,2,5,14,4,0
234,MF,Argentina,28-250,1994,0.6,2,0,1,1,0,2,2,100,0,1,1,0,0,2,1,0
235,GK,Mexico,37-158,1985,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
236,DF,Uruguay,29-269,1993,2,3,2,2,1,0,3,4,75,1,1,0,1,3,6,1,0
237,FW,United States,24-266,1998,1.5,2,0,1,1,0,2,2,100,0,0,0,0,0,2,1,0
238,FW,Morocco,29-274,1993,7.1,10,7,4,5,1,4,11,36.4,7,10,0,10,10,20,4,1
239,MF,Tunisia,19-331,2003,0.1,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
240,FW,Switzerland,30-299,1992,0.8,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0
241,FW,England,29-143,1993,4.5,2,1,1,1,0,1,1,100,0,2,1,1,0,2,5,0
242,DF,England,29-288,1993,4.8,7,3,4,3,0,1,2,50,1,4,3,1,4,11,18,0
243,DF,Australia,24-057,1998,4,4,0,3,1,0,2,3,66.7,1,7,4,3,6,10,22,0
244,MF,Wales,25-271,1997,1.8,4,2,1,3,0,1,1,100,0,1,0,1,1,5,3,0
245,DF,Saudi Arabia,23-312,1999,2,4,2,3,1,0,3,5,60,2,3,2,1,3,7,6,0
246,MF,Qatar,32-007,1990,2.3,4,1,2,2,0,2,8,25,6,0,0,0,2,6,1,0
247,MF,Saudi Arabia,30-155,1992,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
248,FW,Mexico,30-030,1992,1.6,1,1,1,0,0,1,2,50,1,2,0,2,2,3,1,0
249,GK,Ecuador,35-263,1987,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
250,MF,Japan,27-222,1995,3.2,0,0,0,0,0,0,0,,0,9,2,7,3,3,4,0
251,DF,Japan,23-220,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
252,MF,Japan,32-250,1990,1.3,5,4,3,1,1,2,4,50,2,2,2,0,1,6,8,0
253,FW,Mexico,27-141,1995,2.8,7,2,1,5,1,3,4,75,1,4,0,4,0,7,1,0
254,DF,Qatar,23-115,1999,2.9,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,1,0
255,DF,Korea Republic,32-092,1990,0.5,0,0,0,0,0,0,0,,0,2,1,1,1,1,1,0
256,GK,IR Iran,30-171,1992,1.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
257,DF,IR Iran,28-270,1994,0.5,0,0,0,0,0,0,2,0,2,1,1,0,1,1,2,0
258,GK,France,35-357,1986,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
259,MF,Korea Republic,26-326,1996,1.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
260,MF,Korea Republic,26-089,1996,3.7,4,3,0,3,1,3,6,50,3,1,0,1,3,7,2,0
261,FW,Korea Republic,30-112,1992,1.2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
262,MF,Mexico,32-243,1990,1.8,4,3,2,2,0,2,4,50,2,1,0,1,3,7,0,0
263,DF,Mexico,34-335,1988,3,2,1,2,0,0,1,1,100,0,2,1,1,1,3,4,0
264,DF,France,23-207,1999,3.3,15,6,11,4,0,5,5,100,0,5,2,3,7,22,16,0
265,MF,Senegal,33-083,1989,3,2,1,1,1,0,0,1,0,1,3,0,3,5,7,3,0
266,MF,Morocco,25-049,1997,0.5,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
267,FW,Senegal,22-287,2000,1.5,0,0,0,0,0,0,2,0,2,2,0,2,1,1,0,0
268,DF,Senegal,23-123,1999,3.1,0,0,0,0,0,0,1,0,1,3,0,3,4,4,14,0
269,FW,Qatar,32-257,1990,1.9,,2,,,,,,,,,,,2,,,
270,FW,Senegal,24-296,1998,3.8,4,2,1,2,1,2,3,66.7,1,2,0,2,2,6,1,0
271,MF,Canada,20-195,2002,1.2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
272,FW,Tunisia,30-358,1991,2,3,3,1,1,1,0,1,0,1,1,0,1,0,3,3,0
273,MF,Serbia,21-276,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
274,FW,Croatia,33-319,1989,7.4,7,4,3,4,0,5,7,71.4,2,9,1,8,7,14,12,0
275,FW,Ghana,28-186,1994,3,4,2,0,1,3,1,2,50,1,3,0,3,0,4,2,0
276,FW,England,27-099,1995,1,3,1,2,1,0,0,0,,0,2,0,2,3,6,1,0
277,MF,Australia,29-286,1993,3.9,4,2,1,3,0,2,4,50,2,7,0,7,3,7,8,0
278,DF,Ecuador,22-136,2000,1.1,2,2,1,1,0,0,0,,0,1,0,1,3,5,4,0
279,MF,Poland,20-196,2002,2.6,6,1,3,3,0,3,4,75,1,4,1,3,0,6,2,0
280,DF,Poland,22-306,2000,3.9,2,1,2,0,0,1,1,100,0,4,2,2,4,6,15,2
281,MF,Germany,19-295,2003,2.9,1,1,0,0,1,1,2,50,1,3,1,2,1,2,0,0
282,FW,Australia,29-142,1993,0.6,0,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0
283,DF,Poland,26-250,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
284,DF,Belgium,35-238,1987,3,0,0,0,0,0,0,1,0,1,2,2,0,5,5,12,0
285,FW,Australia,27-139,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
286,DF,Morocco,30-292,1992,3.4,4,2,4,0,0,3,3,100,0,6,6,0,5,9,17,0
287,DF,Cameroon,27-326,1995,2,3,3,2,1,0,0,1,0,1,2,1,1,6,9,12,0
288,MF,Korea Republic,23-089,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
289,MF,Belgium,20-205,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
290,MF,Ecuador,20-185,2002,0.9,2,1,0,1,1,0,1,0,1,0,0,0,1,3,0,0
291,MF,Cameroon,24-079,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
292,MF,Denmark,22-292,2000,2.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
293,FW,United States,21-359,2000,0.5,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
294,DF,Mexico,28-125,1994,3,9,5,5,4,0,3,8,37.5,5,5,1,4,1,10,10,0
295,MF,Costa Rica,18-186,2004,1.1,0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,0
296,MF,Ecuador,25-236,1997,2,2,2,1,1,0,1,1,100,0,4,0,4,1,3,1,0
297,DF,Denmark,26-201,1996,3,4,2,2,1,1,0,2,0,2,2,1,1,0,4,12,0
298,DF,Denmark,25-212,1997,2.8,9,5,4,3,2,5,7,71.4,2,7,3,4,2,11,6,0
299,MF,Wales,32-279,1990,1,1,1,1,0,0,1,2,50,1,1,0,1,1,2,4,0
300,MF,Wales,25-349,1997,0.4,3,2,1,2,0,0,1,0,1,2,0,2,1,4,0,0
301,DF,Wales,25-057,1997,3,2,2,1,1,0,1,2,50,1,2,2,0,4,6,13,0
302,FW,Costa Rica,30-175,1992,3,9,5,2,5,2,1,2,50,1,3,0,3,0,9,4,0
303,FW,Costa Rica,34-021,1988,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
304,DF,England,28-204,1994,4.8,2,2,2,0,0,2,2,100,0,3,3,0,1,3,8,0
305,FW,Germany,30-157,1992,0.3,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0
306,FW,Canada,22-338,2000,2.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
307,MF,Canada,30-189,1992,1.3,2,1,0,1,1,2,4,50,2,0,0,0,1,3,1,0
308,FW,Ghana,31-098,1991,1.5,3,3,1,2,0,0,1,0,1,0,0,0,1,4,1,0
309,MF,England,32-184,1990,3,4,2,2,2,0,2,2,100,0,3,1,2,1,5,0,0
310,FW,United States,28-053,1994,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
311,GK,England,28-286,1994,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
312,MF,France,29-292,1993,0.7,2,0,0,2,0,1,1,100,0,0,0,0,0,2,2,0
313,DF,Spain,33-272,1989,2.9,6,4,2,4,0,2,5,40,3,2,0,2,3,9,2,0
314,DF,Mexico,25-008,1997,1.9,1,0,1,0,0,1,1,100,0,2,0,2,3,4,8,0
315,FW,United States,22-301,2000,1.7,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0
316,MF,Germany,27-313,1995,3,5,2,3,2,0,3,6,50,3,6,1,5,3,8,1,0
317,DF,Croatia,27-124,1995,6.7,12,8,9,3,0,8,8,100,0,5,3,2,3,15,15,0
318,DF,Croatia,22-260,2000,1,3,3,0,3,0,2,2,100,0,0,0,0,1,4,0,0
319,DF,Croatia,22-293,2000,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,5,0
320,MF,Ecuador,23-281,1999,0.7,2,2,1,1,0,0,2,0,2,1,0,1,0,2,1,0
321,DF,Uruguay,27-332,1995,3,4,1,3,1,0,2,7,28.6,5,6,5,1,7,11,11,0
322,DF,Portugal,28-205,1994,3.4,7,3,1,2,4,4,5,80,1,1,1,0,2,9,8,0
323,FW,Portugal,23-038,1999,3.7,4,2,2,2,0,0,3,0,3,0,0,0,1,5,1,0
324,FW,Portugal,29-333,1993,0.9,2,1,0,1,1,2,3,66.7,1,2,0,2,0,2,0,0
325,MF,Portugal,27-162,1995,0.4,2,1,1,1,0,0,1,0,1,1,0,1,1,3,1,0
326,DF,Croatia,20-329,2002,7.7,9,6,5,4,0,5,8,62.5,3,8,4,4,11,20,37,0
327,DF,Argentina,24-340,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
328,DF,Costa Rica,27-195,1995,1,4,3,4,0,0,3,3,100,0,0,0,0,2,6,10,0
329,MF,England,19-172,2003,4.6,16,15,5,6,5,5,6,83.3,1,10,0,10,5,21,0,0
330,DF,France,24-036,1998,5.3,11,8,9,1,1,7,12,58.3,5,7,4,3,5,16,8,0
331,FW,Argentina,22-321,2000,5.2,4,2,3,0,1,0,2,0,2,8,0,8,0,4,3,0
332,MF,Korea Republic,33-004,1989,3.4,5,4,3,2,0,2,3,66.7,1,3,1,2,3,8,7,0
333,FW,Canada,32-196,1990,1.8,8,4,1,2,5,3,4,75,1,0,0,0,1,9,0,0
334,MF,Japan,29-284,1993,3.6,7,4,3,3,1,5,9,55.6,4,4,1,3,5,12,6,0
335,DF,Netherlands,21-184,2001,4.3,12,6,5,7,0,6,6,100,0,1,0,1,10,22,13,0
336,FW,Germany,23-190,1999,1.1,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0
337,DF,Senegal,31-181,1991,4,12,9,10,2,0,7,11,63.6,4,4,1,3,2,14,30,0
338,MF,England,27-016,1995,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
339,DF,Canada,25-216,1997,3,6,4,5,1,0,2,3,66.7,1,1,1,0,4,10,11,1
340,FW,Ghana,20-306,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
341,DF,Poland,34-318,1988,4,2,1,1,1,0,2,3,66.7,1,2,1,1,3,5,23,0
342,MF,Poland,34-193,1988,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
343,MF,Japan,25-212,1997,1.8,7,2,6,0,1,3,3,100,0,4,1,3,2,9,5,0
344,FW,IR Iran,32-259,1990,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
345,MF,Qatar,32-093,1990,2.1,2,1,0,2,0,2,5,40,3,0,0,0,0,2,3,0
346,FW,Cameroon,30-095,1992,1.8,1,1,0,1,0,0,1,0,1,1,0,1,2,3,0,0
347,FW,Poland,25-329,1997,0.5,4,1,1,1,2,2,3,66.7,1,0,0,0,2,6,0,0
348,FW,Denmark,25-073,1997,1.3,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
349,GK,Denmark,36-043,1986,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
350,MF,Australia,24-194,1998,1.3,1,1,1,0,0,0,2,0,2,5,0,5,2,3,1,0
351,MF,United States,27-147,1995,0.5,3,2,3,0,0,2,2,100,0,0,0,0,0,3,0,0
352,DF,Costa Rica,34-351,1988,2.5,7,4,6,1,0,3,4,75,1,2,1,1,5,12,14,0
353,MF,Netherlands,20-216,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
354,FW,Belgium,31-173,1991,3,1,1,1,0,0,0,2,0,2,2,0,2,0,1,3,0
355,FW,Ecuador,22-289,2000,0,,0,,,,,,,,,,,0,,,
356,DF,Mexico,23-337,1999,0.8,1,0,1,0,0,1,1,100,0,2,0,2,1,2,2,0
357,GK,Costa Rica,36-003,1986,3,1,0,1,0,0,1,1,100,0,0,0,0,1,2,2,1
358,DF,Costa Rica,28-160,1994,2.8,4,4,3,1,0,3,7,42.9,4,2,0,2,3,7,9,0
359,FW,Wales,30-132,1992,2.5,1,0,1,0,0,0,0,,0,3,1,2,2,3,7,0
360,DF,England,32-090,1990,2.3,6,4,4,2,0,5,6,83.3,1,3,1,2,1,7,4,0
361,DF,Korea Republic,30-188,1992,3.5,10,5,6,2,2,5,6,83.3,1,2,0,2,3,13,5,0
362,DF,Korea Republic,26-033,1996,3,2,1,2,0,0,1,1,100,0,5,1,4,2,4,8,0
363,DF,Korea Republic,27-139,1995,4,9,4,6,2,1,5,6,83.3,1,3,1,2,4,13,16,0
364,GK,Korea Republic,32-079,1990,4,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
365,DF,Korea Republic,32-294,1990,3.9,3,2,3,0,0,1,2,50,1,3,2,1,3,6,11,0
366,FW,France,26-188,1996,1.9,3,2,1,2,0,1,2,50,1,3,0,3,2,5,1,0
367,DF,Japan,25-325,1997,3,9,5,4,4,1,3,4,75,1,1,0,1,4,13,16,0
368,MF,Spain,30-344,1992,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
369,FW,Croatia,25-218,1997,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
370,MF,Poland,24-348,1998,2.4,5,3,1,3,1,2,4,50,2,1,0,1,5,10,6,0
371,FW,Poland,27-170,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
372,FW,Senegal,23-296,1999,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
373,FW,Ghana,22-138,2000,2.7,5,4,3,0,2,1,2,50,1,4,0,4,1,6,0,0
374,FW,Korea Republic,28-171,1994,0.6,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0
375,DF,Korea Republic,30-321,1992,1,0,0,0,0,0,0,0,,0,1,1,0,2,2,5,0
376,DF,Australia,24-177,1998,4,8,2,5,3,0,4,7,57.1,3,9,7,2,7,15,16,1
377,DF,England,32-204,1990,2.6,3,1,2,1,0,3,5,60,2,2,0,2,3,6,3,0
378,FW,France,23-363,1998,6.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
379,FW,Argentina,25-118,1997,2.7,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
380,GK,Ghana,26-019,1996,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
381,DF,Belgium,27-247,1995,1.8,6,3,4,2,0,4,4,100,0,4,3,1,0,6,5,0
382,MF,Argentina,28-172,1994,2.5,10,4,4,6,0,3,4,75,1,0,0,0,3,13,4,0
383,FW,Belgium,28-014,1994,1.1,1,1,0,1,0,1,1,100,0,1,0,1,0,1,0,0
384,MF,Korea Republic,30-130,1992,2.3,5,2,1,2,2,1,8,12.5,7,3,0,3,3,8,2,0
385,MF,Korea Republic,21-302,2001,1.6,4,3,1,2,1,2,5,40,3,0,0,0,0,4,0,0
386,MF,Germany,27-315,1995,1.8,5,3,2,3,0,2,2,100,0,1,0,1,1,6,0,0
387,FW,Germany,26-341,1996,1.2,1,1,1,0,0,0,4,0,4,2,0,2,0,1,1,0
388,DF,Canada,23-082,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
389,FW,Argentina,35-177,1987,7.7,5,3,1,3,1,0,2,0,2,2,0,2,0,5,0,0
390,DF,Argentina,24-334,1998,3.4,6,2,4,2,0,2,2,100,0,3,1,2,3,9,14,0
391,MF,Croatia,24-335,1998,1.4,3,1,1,2,0,2,3,66.7,1,1,0,1,0,3,2,0
392,FW,Belgium,22-305,2000,0.1,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
393,FW,Canada,29-355,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
394,DF,France,26-307,1996,0.1,1,1,0,1,0,1,2,50,1,0,0,0,0,1,0,0
395,MF,Brazil,25-113,1997,3.5,7,5,5,1,1,2,5,40,3,5,1,4,2,9,4,0
396,MF,Mexico,26-337,1996,3,1,0,0,1,0,1,4,25,3,6,0,6,1,2,3,0
397,FW,Uruguay,35-328,1987,1.6,1,0,0,0,1,0,3,0,3,0,0,0,0,1,2,0
398,FW,Serbia,24-360,1997,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
399,MF,Croatia,37-100,1985,7.3,16,10,4,11,1,7,14,50,7,4,2,2,10,26,3,0
400,DF,Germany,26-198,1996,0.7,3,1,0,3,0,2,3,66.7,1,0,0,0,0,3,1,0
401,DF,England,27-159,1995,4.7,3,1,1,0,2,1,2,50,1,2,0,2,4,7,5,0
402,FW,Netherlands,32-113,1990,0.6,2,1,0,2,0,0,0,,0,0,0,0,0,2,1,0
403,DF,IR Iran,26-181,1996,3,7,4,6,1,0,6,9,66.7,3,3,2,1,6,13,11,0
404,DF,Switzerland,27-152,1995,4,4,2,2,0,2,3,4,75,1,4,3,1,3,7,12,0
405,GK,Germany,36-266,1986,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
406,MF,Croatia,30-032,1992,6.1,13,7,8,2,3,3,10,30,7,13,7,6,4,17,7,0
407,FW,Spain,26-331,1996,2.5,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0
408,DF,Argentina,31-051,1991,4.1,12,8,9,2,1,6,7,85.7,1,8,1,7,2,14,9,0
409,DF,Spain,27-322,1995,1.3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0
410,FW,England,25-048,1997,1.6,1,0,0,0,1,1,2,50,1,2,0,2,1,2,1,0
411,FW,France,25-134,1997,1.7,3,2,1,1,1,0,0,,0,2,0,2,0,3,2,0
412,MF,Germany,30-198,1992,0.4,1,0,1,0,0,1,1,100,0,2,0,2,0,1,0,0
413,FW,Croatia,27-312,1995,3,7,5,2,4,1,3,7,42.9,4,6,2,4,3,10,3,0
414,MF,Canada,28-016,1994,0.7,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
415,MF,Serbia,26-249,1996,0.1,1,1,1,0,0,1,2,50,1,0,0,0,0,1,1,0
416,FW,Croatia,29-114,1993,2.7,2,2,0,1,1,1,3,33.3,2,1,0,1,1,3,1,0
417,DF,Brazil,28-218,1994,4.7,5,4,3,2,0,4,5,80,1,6,1,5,2,7,6,0
418,MF,Netherlands,31-264,1991,2,7,5,3,3,1,1,5,20,4,4,0,4,2,9,6,0
419,FW,Denmark,31-196,1991,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
420,MF,Cameroon,24-277,1998,1.3,0,0,0,0,0,0,0,,0,2,1,1,2,2,3,0
421,FW,Brazil,21-183,2001,1.3,2,1,1,1,0,1,2,50,1,2,0,2,0,2,1,0
422,DF,Uruguay,35-255,1987,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
423,MF,England,23-342,1999,2.1,2,2,1,0,1,0,0,,0,2,0,2,0,2,0,0
424,MF,Croatia,28-226,1994,7.1,24,17,10,11,3,4,11,36.4,7,4,1,3,4,28,5,0
425,MF,Portugal,24-113,1998,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
426,MF,Australia,31-317,1991,3.7,4,4,1,3,0,2,5,40,3,5,0,5,1,5,6,0
427,GK,Australia,30-254,1992,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
428,MF,Denmark,26-351,1996,0.9,1,0,0,1,0,1,1,100,0,2,0,2,0,1,0,0
429,DF,Uruguay,25-048,1997,2.8,9,5,7,2,0,4,7,57.1,3,9,0,9,2,11,10,0
430,GK,United States,28-177,1994,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
431,DF,Germany,28-333,1994,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
432,DF,Netherlands,23-128,1999,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
433,DF,Poland,25-133,1997,4,4,3,3,1,0,3,6,50,3,7,2,5,0,4,17,0
434,FW,France,23-248,1999,0.9,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
435,MF,Uruguay,31-116,1991,2.2,4,3,1,2,1,1,3,33.3,2,6,2,4,4,8,1,0
436,DF,Uruguay,25-039,1997,0.2,4,3,4,0,0,2,2,100,0,0,0,0,0,4,0,0
437,FW,Uruguay,26-126,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
438,DF,Japan,34-116,1988,4.3,4,4,0,4,0,1,1,100,0,6,3,3,3,7,24,0
439,FW,IR Iran,30-153,1992,3,4,3,2,2,0,2,5,40,3,5,1,4,2,6,3,0
440,MF,IR Iran,28-099,1994,0.7,1,0,1,0,0,1,3,33.3,2,1,0,1,2,3,0,0
441,FW,Netherlands,28-308,1994,3.3,1,1,0,1,0,1,2,50,1,4,0,4,1,2,0,1
442,GK,Qatar,24-307,1998,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
443,FW,Ecuador,26-255,1996,2.5,1,0,0,1,0,0,1,0,1,4,1,3,0,1,0,0
444,MF,Poland,22-306,2000,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
445,MF,Switzerland,25-346,1997,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
446,FW,Belgium,29-077,1993,1.7,1,0,0,1,0,1,1,100,0,1,0,1,0,1,0,0
447,DF,Japan,28-361,1993,0.7,1,0,0,1,0,0,0,,0,2,0,2,2,3,0,0
448,MF,Denmark,22-168,2000,1.7,4,2,2,2,0,0,4,0,4,2,0,2,2,6,1,0
449,DF,IR Iran,29-080,1993,2.2,10,3,7,3,0,3,4,75,1,2,0,2,1,11,6,0
450,GK,Canada,35-056,1987,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
451,DF,Australia,28-234,1994,2,6,4,6,0,0,5,6,83.3,1,2,1,1,1,7,9,0
452,DF,Serbia,27-083,1995,2.5,4,1,4,0,0,2,2,100,0,2,2,0,0,4,7,0
